V160001	V160001_orig	age	female	education	leftright	politicalinterest	politicalparticipation	TIPI_extraversion	TIPI_agreeableness	TIPI_conscientiousness	TIPI_emotionalstability	TIPI_openness	V161069	V161072	V161075	V161078	V161098	V161101	V161104	V161106	V161101_doc	V161104_doc	V161106_doc	V161069_doc	V161072_doc	V161075_doc	V161078_doc	V161098_doc	party_id
1068	302604	18.0	1.0	2	1.0	1.0	0.0	2.5	7.0	6.5	4.0	5.5	because she is the democrat candidate	loss of trust		immigration policies	the views on helping people in need and having programs for people in need are better than the republicians	because of my religous views the stand s on abortion and homosevual rights i dont agree with. 			because of my religous views the stand s on abortion and homosevual rights i dont agree with. 			because she is the democrat candidate	loss of trust		immigration policies	the views on helping people in need and having programs for people in need are better than the republicians	0.0
1069	302606	53.0	1.0	3	0.0	3.0	0.5	4.0	4.5	5.0	3.0	7.0	her experience in politics. .  her platforms that are similar to obama, but go in a slightly different direction. i like her platforms for immigration, educatiion, general welfare. . . .  	the perceptions about the e-mail scandal gives me a little bit of a doubt on her verocity, but i think that's more about politial tactics than about anything she did or didn't do. .  		i think he is insincere.   i thinke he's a liar.   i think he's for himself and not for the people.   he may generate problems we may not be able to solve after his tenure is over. .  	the issues that they approve of are in line with my feelings.   i'm in favor of obamacare.   i'm still upset about there being no agreement on gun control.   they are more unified. .  they seem to 100% support hillary clinton and tim kaine. 	the gun control issue, and the apparent vulnerability of their computer system. 		i don't like how they are not taking care of some issues like gun control, gun legislation.   how they're splitting themseelve so that they are not unified, chaotic and ineffective. .  	the gun control issue, and the apparent vulnerability of their computer system. 		i don't like how they are not taking care of some issues like gun control, gun legislation.   how they're splitting themseelve so that they are not unified, chaotic and ineffective. .  	her experience in politics. .  her platforms that are similar to obama, but go in a slightly different direction. i like her platforms for immigration, educatiion, general welfare. . . .  	the perceptions about the e-mail scandal gives me a little bit of a doubt on her verocity, but i think that's more about politial tactics than about anything she did or didn't do. .  		i think he is insincere.   i thinke he's a liar.   i think he's for himself and not for the people.   he may generate problems we may not be able to solve after his tenure is over. .  	the issues that they approve of are in line with my feelings.   i'm in favor of obamacare.   i'm still upset about there being no agreement on gun control.   they are more unified. .  they seem to 100% support hillary clinton and tim kaine. 	0.0
1070	302610	33.0	0.0	2	4.0	3.0	0.0	1.5	2.5	6.5	2.0	5.0		her stand on every issue that there is. .  	he is not hilary clinton. .  i am not necessarily a fan of trump, i am just not that much a fan of hilary clinton. .  i think every year the pool of candidates from both parties gets worse and worse.  i could probably write a thousand word essay on this topic. .  			i dont like any of their policies. .  comparing the two parties i think they are the same team with two different mascots but the republicans give you a small sense of reprieve. .  	fiscal policy. .  individual freedom.  	i dont like big government republicans. .  	i dont like any of their policies. .  comparing the two parties i think they are the same team with two different mascots but the republicans give you a small sense of reprieve. .  	fiscal policy. .  individual freedom.  	i dont like big government republicans. .  		her stand on every issue that there is. .  	he is not hilary clinton. .  i am not necessarily a fan of trump, i am just not that much a fan of hilary clinton. .  i think every year the pool of candidates from both parties gets worse and worse.  i could probably write a thousand word essay on this topic. .  			1.0
1071	302612	61.0	0.0	1			0.0							yeah, all her gmails.   i don't think she's honest.  	making this better.   getting it back on track. . . even though he has so many faults.  uh. . that's it		there's a lot of good people in there.  		same thing.   there's a lot of good people that i come across in both parties. .  i just wish they would get rid of both parties and work together.   do away with both parties and get something done.   of course, that's not going to happen.  			same thing.   there's a lot of good people that i come across in both parties. .  i just wish they would get rid of both parties and work together.   do away with both parties and get something done.   of course, that's not going to happen.  			yeah, all her gmails.   i don't think she's honest.  	making this better.   getting it back on track. . . even though he has so many faults.  uh. . that's it		there's a lot of good people in there.  	
1072	302613	79.0	0.0	1	2.0	1.0	0.0	5.0	3.5	4.0	4.0	4.0	i think she would be real good.   she has been in the white house for what is it 10 years, since clinton was in.  she might make a good president. .  		i think he would make a good president.  either one would be great i think it would be.  .  									i think she would be real good.   she has been in the white house for what is it 10 years, since clinton was in.  she might make a good president. .  		i think he would make a good president.  either one would be great i think it would be.  .  			1.0
1073	302614	68.0	1.0	3	0.0	1.0	0.5	1.5	5.0	6.5	3.5	3.5	her experience.  her views match mine on many subjects.  			i think he's an idiot.  	i like their views on diversity, gay rights, women's rights.  	unwillingness to compromise.  		i do not like that they have given up many of their principles to follow donald trump because they're afraid to lose some mythical base.  	unwillingness to compromise.  		i do not like that they have given up many of their principles to follow donald trump because they're afraid to lose some mythical base.  	her experience.  her views match mine on many subjects.  			i think he's an idiot.  	i like their views on diversity, gay rights, women's rights.  	0.0
1074	302615	29.0	1.0	2	5.0	2.0	0.0	3.0	5.5	4.0	2.0	5.5	because she is a woman	lies alot	he is going to make the economy better, hoping he will help the education system	sometimes he i not very professional he seems like a narcist	help the lower class sometimes it is for the good and sometimes it enables	abortion views	raised that way	they dont help people who do need help like the poor people	abortion views	raised that way	they dont help people who do need help like the poor people	because she is a woman	lies alot	he is going to make the economy better, hoping he will help the education system	sometimes he i not very professional he seems like a narcist	help the lower class sometimes it is for the good and sometimes it enables	2.0
1075	302621	80.0	1.0	1	2.0		0.0						in a way i thionk she is on the right tract for  poeple and woman and i think she would do okay with it. .  .   well i guess they say her health is okay is that an issue, she could handle the job, but have peple to help you and advise you if you are higher up and in that situation.  .  		i don'tknow maybe he could be better than hiliary on his leadership qualities, and he has his own thoughts and opinions and leadership qualities about letting people in th county.  .  	would he listen, that is why you need to listen to the house of representative, would he listen, would that matter	i think hiliary is more for womens;s rights, i think it will be about the same no matter who gets in							in a way i thionk she is on the right tract for  poeple and woman and i think she would do okay with it. .  .   well i guess they say her health is okay is that an issue, she could handle the job, but have peple to help you and advise you if you are higher up and in that situation.  .  		i don'tknow maybe he could be better than hiliary on his leadership qualities, and he has his own thoughts and opinions and leadership qualities about letting people in th county.  .  	would he listen, that is why you need to listen to the house of representative, would he listen, would that matter	i think hiliary is more for womens;s rights, i think it will be about the same no matter who gets in	1.0
1076	302626	72.0	1.0	2	6.0		0.0							she belongs in jail.  she has broken our laws and has no business to rule over other people and as of late i wonder about her health. .  	i think he will be a very strong and capable president.  i feel if he doesnt know something he will hire someone who does.  he won't just blurt something out. 			i think there should be term limits.  i dont think you should be a life time politicion.  too much croniism. 	i think they are trying to change things.  i dont think they are doing the best job they could. .  	i think they are going along with the status quo and giving in too much.  	i think there should be term limits.  i dont think you should be a life time politicion.  too much croniism. 	i think they are trying to change things.  i dont think they are doing the best job they could. .  	i think they are going along with the status quo and giving in too much.  		she belongs in jail.  she has broken our laws and has no business to rule over other people and as of late i wonder about her health. .  	i think he will be a very strong and capable president.  i feel if he doesnt know something he will hire someone who does.  he won't just blurt something out. 			2.0
1077	302627	40.0	1.0	1	1.0	1.0	0.0	5.0	6.5	5.0	3.0	5.0		not truthful	he is realistic	sometimes sounds stupid	more open regarding gay marriage and abortion, more open to the people	give away too many resources to people and other countries			give away too many resources to people and other countries				not truthful	he is realistic	sometimes sounds stupid	more open regarding gay marriage and abortion, more open to the people	0.0
1078	302629	25.0	0.0	1	4.0		0.0							everthing ablut her.  for abortion.  											everthing ablut her.  for abortion.  				1.0
1079	302632	46.0	1.0	1		1.0	0.0	3.5	3.5	4.0	4.0	3.5	like the way she handle things.  			he talks about taking things away from people in need								like the way she handle things.  			he talks about taking things away from people in need		
1080	302634	60.0		1	0.0	2.0	0.0	4.5	5.0	7.0	2.0	5.5	she is the only one out there .   been in politics thelongest.   been on staff with obama.   been in the white house before			some of the things he said and done.   crowd that he has/ anthing he says do not like / if a blck man can do it he can do it .   racist	im a democrat.  don not feel they can do no more then they can.  			do not like nothing abou them			do not like nothing abou them	she is the only one out there .   been in politics thelongest.   been on staff with obama.   been in the white house before			some of the things he said and done.   crowd that he has/ anthing he says do not like / if a blck man can do it he can do it .   racist	im a democrat.  don not feel they can do no more then they can.  	0.0
1081	302639	49.0	1.0	3	6.0	2.0	0.5	6.5	6.0	7.0	4.0	4.5		her lyes on the internet and security that is one example another major one was she was an attorney and she went to lawsuit filed, fighting against a young girl that was raped and she had been raped and beat by him and she defended this guy she was fine with this and consented to the sex they way she talked and felt about the situation made me upset, should be protecting people, my research hilary rodman was a member not militia people that are bad that kill mofia  family may not be her directly but have done a lot of illegal things that is her background so we do research not sure whether to believe or not but did research and were a member of the mofia and do things illegally	the financial how he wants to straighten out finances and agree to buld a wall and only let us citizens come across the wall and he wants to bring jobs back to us  has had several friends who has lost jobs as jobs are being shipped overseas.    i believe that america back in the financial status all say that whether or not is true i don't know	his quick decisions to possibly ok north korea lets just bomb them, be a bit timid to think he would use nuclear power, i respect that he does not want to be paid to be president,   one lady mentioned that i have heard that he is against women in thier opinions not sure if that is true that makes me sad for the future i am not by any means a women liber my family is but i am not a women should do a womans job and a man a mans job   just protect us		they want to be a womans right to have an abortion, all these changes  seems like all the homesexual marriages have come about not that people are not allowed to have thier rights, they take attetnion off thigns we need to focus on  i think a lot of thier morals that they do are not with what i believe in   wanting to take aborted fetus and use for research, i know they have to do research figure out other ways around that    seems like democratic side focus on let every one have all the rights they want to but then take away gun rights	feeling of protection i like how finances should be run, i think military runs better with the republican party relations with other countires are better with republicans	they say they do not support abortion and they end up supporting abortion i am strong believer abortion is wrong   so say things to get you to vote for them and they change thier mind	they want to be a womans right to have an abortion, all these changes  seems like all the homesexual marriages have come about not that people are not allowed to have thier rights, they take attetnion off thigns we need to focus on  i think a lot of thier morals that they do are not with what i believe in   wanting to take aborted fetus and use for research, i know they have to do research figure out other ways around that    seems like democratic side focus on let every one have all the rights they want to but then take away gun rights	feeling of protection i like how finances should be run, i think military runs better with the republican party relations with other countires are better with republicans	they say they do not support abortion and they end up supporting abortion i am strong believer abortion is wrong   so say things to get you to vote for them and they change thier mind		her lyes on the internet and security that is one example another major one was she was an attorney and she went to lawsuit filed, fighting against a young girl that was raped and she had been raped and beat by him and she defended this guy she was fine with this and consented to the sex they way she talked and felt about the situation made me upset, should be protecting people, my research hilary rodman was a member not militia people that are bad that kill mofia  family may not be her directly but have done a lot of illegal things that is her background so we do research not sure whether to believe or not but did research and were a member of the mofia and do things illegally	the financial how he wants to straighten out finances and agree to buld a wall and only let us citizens come across the wall and he wants to bring jobs back to us  has had several friends who has lost jobs as jobs are being shipped overseas.    i believe that america back in the financial status all say that whether or not is true i don't know	his quick decisions to possibly ok north korea lets just bomb them, be a bit timid to think he would use nuclear power, i respect that he does not want to be paid to be president,   one lady mentioned that i have heard that he is against women in thier opinions not sure if that is true that makes me sad for the future i am not by any means a women liber my family is but i am not a women should do a womans job and a man a mans job   just protect us		2.0
1082	302643	33.0	1.0	3	4.0	2.0	0.0	2.5	4.5	6.0	2.0	4.5	she has a lot of experience.  she's well educated.  she's sat in many positions of political responsibility. .  		he's frank.   honestly, i kind of admire someone who steps into the policial arena and does not play the political game. .  	lack of experience.  lack of preparation. 	i think they have more social reform initiatives and increased . . .  i think they're.   i think that's it. 	tax.   i don't like the way most democrats believe in tax structure. .  	i like conserving spending and probably care for  .  .  .  that's really it.   some of the tax beliefs or structures that the party has in general. .  		tax.   i don't like the way most democrats believe in tax structure. .  	i like conserving spending and probably care for  .  .  .  that's really it.   some of the tax beliefs or structures that the party has in general. .  		she has a lot of experience.  she's well educated.  she's sat in many positions of political responsibility. .  		he's frank.   honestly, i kind of admire someone who steps into the policial arena and does not play the political game. .  	lack of experience.  lack of preparation. 	i think they have more social reform initiatives and increased . . .  i think they're.   i think that's it. 	1.0
1083	302645	38.0	1.0	2		2.0	0.0	5.0	3.5	6.5	7.0	6.5				the way he talks about hispanics and in particular about mexicans. .  .  											the way he talks about hispanics and in particular about mexicans. .  .  		
1084	302648	89.0	1.0	1	2.0	1.0	0.0	4.0	4.0	4.5	5.0	4.5	i prefer her to the other one.  			i don't like him.  	i like their intentions but they don't go completely thru them, they don't finish.  	tey don't finish what they start.  		quite a bit.  i don't care for the way they act.  	tey don't finish what they start.  		quite a bit.  i don't care for the way they act.  	i prefer her to the other one.  			i don't like him.  	i like their intentions but they don't go completely thru them, they don't finish.  	1.0
1085	302651	69.0	1.0	2	2.0	2.0	1.0	7.0	3.5	7.0	5.5	7.0	her experience. .  at least she states her policies. .  			i haven't heard any policies.  i dopn't respect him as an individual.  i think he disregards many, many people in this county, and i think he's a total egomaniac. .  i think his anger incites people and they don't and it's easier for them to be angry than it is to think. .  	under the leadershop of basrack obama this country has moved forward especially after george bush, maybe not as quickly as everyone wants.  i think he's going to be a great president. .  	i wish they would empower peoiple more thru education and not spend as much money providing people with funds without basis. .  		they just can't agree on anything.  they cannot move this country forward.  it's all about them rather than the people of the nation. .  	i wish they would empower peoiple more thru education and not spend as much money providing people with funds without basis. .  		they just can't agree on anything.  they cannot move this country forward.  it's all about them rather than the people of the nation. .  	her experience. .  at least she states her policies. .  			i haven't heard any policies.  i dopn't respect him as an individual.  i think he disregards many, many people in this county, and i think he's a total egomaniac. .  i think his anger incites people and they don't and it's easier for them to be angry than it is to think. .  	under the leadershop of basrack obama this country has moved forward especially after george bush, maybe not as quickly as everyone wants.  i think he's going to be a great president. .  	1.0
1086	302652	28.0	0.0	3	1.0		0.0						experience.  level headness.  won't set the country on fire.  	the politicial connections she has.  		he would anger all of our allies.   infuriate our enimies.   do not agree with his immagration policies.  would reflect poorly on the united states.  	agree with most of their shocial programs.  like right to chose heath care gun control.   social welfare programs in general.  	over relaince on government programs.  	some of their fiscal policies.   limiting government to a resonable level.  	their sociakl programs.   evengelicial or christian ideals.  williness to not do anything.  conservitisim/   teaparty.  	over relaince on government programs.  	some of their fiscal policies.   limiting government to a resonable level.  	their sociakl programs.   evengelicial or christian ideals.  williness to not do anything.  conservitisim/   teaparty.  	experience.  level headness.  won't set the country on fire.  	the politicial connections she has.  		he would anger all of our allies.   infuriate our enimies.   do not agree with his immagration policies.  would reflect poorly on the united states.  	agree with most of their shocial programs.  like right to chose heath care gun control.   social welfare programs in general.  	0.0
1087	302653	52.0	0.0	3	6.0	1.0	0.5	6.5	3.0	6.5	2.5	5.0	she does have the exprience of being the first lady and i am sure that experience would lend her some wisdom that would come in handy. .  	she is dishonest i think she has been responsible for the death of many americans in the bengazi situation.   i think the clintons in general are opportunistic and greed in money has driven them to many discisions. .  	he is a relentless winner. .  he believes along the same lines that i do as far as people shoulc pull their on weight.   against hand-outs for people that don't work. .   another strong point is he has a vast network of people that he trust that have many skills in different areas and he has skills himself as a organizer and he is someone who listenes to different viewpoints and decisivive.  he is an honest man, sometime that gets him in trouble, but you can't get into too much trouble by telling the truth. .  	he is loose lipped and that is unfortunate habit that he has  he is a bit egotistical and like to be praised a lot and those are some of the things i don't like to much about him. .  	they havee at their core belief a fairness for americans and that i9s good and i don't know that they follow that but it is one of their core beliefs. .  	i have a right for certain things - entitlement mentality that the whole party seems to promote is detrimental to our country when evveryone things they are entitled to what everyone else has.   when they get themselves reelected because of the freebies and they don't have to work.   that iss poison and we have drank it a lot of uss have. .  	the republican party believe in everybody pulling their own weight. .   is leaning a little bit toward my religious beliefs and christian principles and believing that fair treatment for everybody. .  	the republican is not backing the nominee this year and i am having trouble processing that and i don't know if it is out of jealousy and that they believe that he might be ruining it for them and i don't like that a bit.   where i am from you back the home team. .  	i have a right for certain things - entitlement mentality that the whole party seems to promote is detrimental to our country when evveryone things they are entitled to what everyone else has.   when they get themselves reelected because of the freebies and they don't have to work.   that iss poison and we have drank it a lot of uss have. .  	the republican party believe in everybody pulling their own weight. .   is leaning a little bit toward my religious beliefs and christian principles and believing that fair treatment for everybody. .  	the republican is not backing the nominee this year and i am having trouble processing that and i don't know if it is out of jealousy and that they believe that he might be ruining it for them and i don't like that a bit.   where i am from you back the home team. .  	she does have the exprience of being the first lady and i am sure that experience would lend her some wisdom that would come in handy. .  	she is dishonest i think she has been responsible for the death of many americans in the bengazi situation.   i think the clintons in general are opportunistic and greed in money has driven them to many discisions. .  	he is a relentless winner. .  he believes along the same lines that i do as far as people shoulc pull their on weight.   against hand-outs for people that don't work. .   another strong point is he has a vast network of people that he trust that have many skills in different areas and he has skills himself as a organizer and he is someone who listenes to different viewpoints and decisivive.  he is an honest man, sometime that gets him in trouble, but you can't get into too much trouble by telling the truth. .  	he is loose lipped and that is unfortunate habit that he has  he is a bit egotistical and like to be praised a lot and those are some of the things i don't like to much about him. .  	they havee at their core belief a fairness for americans and that i9s good and i don't know that they follow that but it is one of their core beliefs. .  	2.0
1088	302657	45.0	0.0	3	5.0	2.0	0.0	4.0	5.5	6.0	2.5	5.0	longevity maybe. .  		i'd say his business perspective. .  	attitude on certain topics. .  he is a little brash. 	i think some of the things they are doing in the school systems is a positive. .   children issues	right now i would say health care. .  	right now i would think change. .   some of the economic plans. 		right now i would say health care. .  	right now i would think change. .   some of the economic plans. 		longevity maybe. .  		i'd say his business perspective. .  	attitude on certain topics. .  he is a little brash. 	i think some of the things they are doing in the school systems is a positive. .   children issues	2.0
1089	302659	19.0	0.0	2	3.0		0.0																						1.0
1090	302660	44.0	0.0	3	5.0	2.0	0.0	3.0	2.5	6.5	3.5	4.5	her history in the political ring/	don't think that she is extremely honest/	his ability not to mence words and not a political figure, wants to run the country like he would run a business/	he can be convertial, and could potentially make enemices/		can be very difficult to negotiate with come to agreement on different political items or economic items/	their flexibility around major and political and economic issues/	their not very decisive when it comes to some of the issues that this country is faced with/	can be very difficult to negotiate with come to agreement on different political items or economic items/	their flexibility around major and political and economic issues/	their not very decisive when it comes to some of the issues that this country is faced with/	her history in the political ring/	don't think that she is extremely honest/	his ability not to mence words and not a political figure, wants to run the country like he would run a business/	he can be convertial, and could potentially make enemices/		2.0
1091	302661	32.0	0.0	2	6.0		0.0							national scurity	nstional sircuity.  	inexperinces.  		do away with consitutioon	2 amendment	divie ewith trump being canadate	do away with consitutioon	2 amendment	divie ewith trump being canadate		national scurity	nstional sircuity.  	inexperinces.  		2.0
1092	302664	80.0	0.0	3	6.0	2.0	0.0	3.5	5.5	6.5	4.0	5.0		i think she is a liar. .  	his abilioty to run a business. .  			everything. .  	they are there to help people. .  		everything. .  	they are there to help people. .  			i think she is a liar. .  	his abilioty to run a business. .  			2.0
1093	302665	56.0	1.0	1	3.0	2.0	0.0	4.0	4.5	5.5	3.0	4.0			probably because he is so spunky				im just at an awe with all of it because you don't know what will take place			im just at an awe with all of it because you don't know what will take place				probably because he is so spunky			1.0
1094	302667	36.0	1.0	3	1.0	3.0	0.5	2.5	6.0	7.0	2.5	5.5	she's had a lot of experience .   she's a strong female .  	i have issues trusting her and that she'll follow through with what she says she'll do .  		he's sexist, racist, inflamatory, he feeds this country by hate, he brings out the worst in this country.  i believe america and the people who live here are good people and we deserve a leader who reflects that .  . 	i feel like they do what they believe is best for the vast majority of people in the country and that they help people .  	i really don't like their superdelegate situation .   i would like to see more of a focus on balancing the budget .  	i like that they seem to have a focus on balancing the budget and i like that some of the members of the republican party have spoken out against trump .  	i dont get a sense that they care about the people in the country .  	i really don't like their superdelegate situation .   i would like to see more of a focus on balancing the budget .  	i like that they seem to have a focus on balancing the budget and i like that some of the members of the republican party have spoken out against trump .  	i dont get a sense that they care about the people in the country .  	she's had a lot of experience .   she's a strong female .  	i have issues trusting her and that she'll follow through with what she says she'll do .  		he's sexist, racist, inflamatory, he feeds this country by hate, he brings out the worst in this country.  i believe america and the people who live here are good people and we deserve a leader who reflects that .  . 	i feel like they do what they believe is best for the vast majority of people in the country and that they help people .  	0.0
1095	302669	18.0	0.0	2	1.0	2.0	0.5	2.5	4.5	4.0	3.0	6.0	social policy	lot of baggage		his forgien policy social	they have trump super carzy person	handling of primary elecytion		unwillingness to coo;erate	handling of primary elecytion		unwillingness to coo;erate	social policy	lot of baggage		his forgien policy social	they have trump super carzy person	0.0
1096	302671	71.0	1.0	2	6.0	2.0	0.0	4.5	6.0	4.5	2.0	4.0		everything. cant handle the lying,not healthy.  	like that he is done with political correctness, talks about issues people in the community are concerned about.  like his business sense.  not afriad to bring up things other candidates will not talk about.  			becoming way to liberal and not interested in our constitution. .  	trying to get country back on track.  seriously concerned about the economy.  	given in too much to the liberals, need to stand their ground	becoming way to liberal and not interested in our constitution. .  	trying to get country back on track.  seriously concerned about the economy.  	given in too much to the liberals, need to stand their ground		everything. cant handle the lying,not healthy.  	like that he is done with political correctness, talks about issues people in the community are concerned about.  like his business sense.  not afriad to bring up things other candidates will not talk about.  			2.0
1097	302673	35.0	1.0	2	3.0	2.0	0.0	3.5	4.5	4.5	3.5	3.5	she supports immigration.  			pretty much everything.  								she supports immigration.  			pretty much everything.  		1.0
1098	302675	29.0	0.0	3	3.0	2.0	0.0	2.5	5.0	5.5	3.5	7.0	her stand on taxes.  stopping frisk is unconstitutional.  	the proof about the emails, the ties with the banks her staands on welfare and immigration.  	his views on taxation, exported goods, immigration,.   i like that he is already wealthy.  he has gumption. .  	no self controll,, angered easily, talks about things he does not know but actls like he does and can f=be very offensive.  	stanse on medicaid with more regulation abortion,stance on anti1percenters,.  stance on insurance.  	there should only be one party/ weak cybersecurity,stance on immigrationand refugee acceptance,and stance on welfare.  	anti government regulation,views on second ammendment and immigration, secure border, someideas on bringing manufacturing aback,.  	there should be one party, entire bush administration,.  	there should only be one party/ weak cybersecurity,stance on immigrationand refugee acceptance,and stance on welfare.  	anti government regulation,views on second ammendment and immigration, secure border, someideas on bringing manufacturing aback,.  	there should be one party, entire bush administration,.  	her stand on taxes.  stopping frisk is unconstitutional.  	the proof about the emails, the ties with the banks her staands on welfare and immigration.  	his views on taxation, exported goods, immigration,.   i like that he is already wealthy.  he has gumption. .  	no self controll,, angered easily, talks about things he does not know but actls like he does and can f=be very offensive.  	stanse on medicaid with more regulation abortion,stance on anti1percenters,.  stance on insurance.  	1.0
1099	302678	40.0	0.0	1	0.0	3.0	0.0	3.5	5.0	5.0	3.0	4.5	experience, um, just because she, basically her experience.  donald trump does not have experience in the the politica fields			yes, all of the news that has come out recently about the disrespect of women and just the fact that he is a seems like he is an entitled whiner . 	honestly it's all politics.  i guess it would be choosing between the lesser of two evils. .  that's it							experience, um, just because she, basically her experience.  donald trump does not have experience in the the politica fields			yes, all of the news that has come out recently about the disrespect of women and just the fact that he is a seems like he is an entitled whiner . 	honestly it's all politics.  i guess it would be choosing between the lesser of two evils. .  that's it	0.0
1100	302679	56.0	0.0	3	5.0	2.0	0.0	5.5	4.5	5.0	4.5	4.0	experience.  	trust issues, change, .  	some of his business ideas, foreign trade, .  	lack of experience, dangerous, scary in certain issues.  								experience.  	trust issues, change, .  	some of his business ideas, foreign trade, .  	lack of experience, dangerous, scary in certain issues.  		2.0
1101	302680	18.0	0.0	1	6.0	1.0	0.0	5.0	4.5	4.5	3.0	5.5		the news about what happened over seas	he's an idealist and he wants to be progressive	he's radical		they are too accepting of certain ideas	they have ideas for the working man, they want the pregression for the working man		they are too accepting of certain ideas	they have ideas for the working man, they want the pregression for the working man			the news about what happened over seas	he's an idealist and he wants to be progressive	he's radical		2.0
1102	302684	22.0	0.0	1	5.0	2.0	0.0	4.0	4.0	5.0	2.0	4.5	she was secretary of state has more experience.  not really	i think her policies are a little strange	cares a little bit more about the race, cares more about the country, great interest in helping out or at least attemtping too	bad rap but he has good ethics behind him.  gets a bad rap		run majority of the votes, unfavorable			run majority of the votes, unfavorable			she was secretary of state has more experience.  not really	i think her policies are a little strange	cares a little bit more about the race, cares more about the country, great interest in helping out or at least attemtping too	bad rap but he has good ethics behind him.  gets a bad rap		2.0
1103	302699	66.0	1.0	3	4.0	2.0	0.0	6.0	7.0	7.0	1.5	5.0		dishonesty.  	that he's not owned by the politicians.  he's honest.  he's conservative.  		i like  their concern for individuals.  	i think democratic party has gone to extremes.  	i like their balanced approach to things.  		i think democratic party has gone to extremes.  	i like their balanced approach to things.  			dishonesty.  	that he's not owned by the politicians.  he's honest.  he's conservative.  		i like  their concern for individuals.  	1.0
1104	302707	70.0	1.0	1	4.0	3.0	0.0	3.5	5.5	5.5	3.0	4.5		everyting.  she is a liberal to the fullest i dont believe anything that she says.  well that sums it up i don't trust her.  	that he is running against hilary.  	he doesn't always seem in control but he is doing better		they are liberal actions i'm against abortion, their health care that they have shoved down peoples thoarts the economy is good but its not.  if you just keep borrowing money ot pay your bills you are not that much better off.  	they are not as liberal as the decomaticats.  	just that they are liberal.  	they are liberal actions i'm against abortion, their health care that they have shoved down peoples thoarts the economy is good but its not.  if you just keep borrowing money ot pay your bills you are not that much better off.  	they are not as liberal as the decomaticats.  	just that they are liberal.  		everyting.  she is a liberal to the fullest i dont believe anything that she says.  well that sums it up i don't trust her.  	that he is running against hilary.  	he doesn't always seem in control but he is doing better		1.0
1105	302709	26.0	1.0	3	1.0	1.0	0.5	7.0	5.0	6.0	5.0	6.0	she is the best, agree with her stance on social issues like abortion and equal rights			don't agree with his social stances, abusing his power, don't agree with everything about him.  don't agree with anything that comes out of his mouth.  /we would be the laughing stock of the world	their social views	their fiscal stances	agree on their fiscal ideas	their social views	their fiscal stances	agree on their fiscal ideas	their social views	she is the best, agree with her stance on social issues like abortion and equal rights			don't agree with his social stances, abusing his power, don't agree with everything about him.  don't agree with anything that comes out of his mouth.  /we would be the laughing stock of the world	their social views	0.0
1106	302710	55.0	1.0	2	1.0	0.0	0.5	6.0	6.0	6.5	3.5	6.0		too many secrets/	he's a business man/	his mouth, he's uncouth/									too many secrets/	he's a business man/	his mouth, he's uncouth/		0.0
1107	302713	37.0	1.0	2	4.0	0.0	0.0	6.0	4.0	5.0	2.0	6.0		her killing abortion.  that she's trying to get people jobs who don't even have papers.  that will seriously destroy our country.  .  	he will stop people from coming into our country from using the system.  i highly agree with him.   i think he would do very well as a president and he would change everything and our family is hoping.  .  			the same thing too.   .  			the same thing too.   .  				her killing abortion.  that she's trying to get people jobs who don't even have papers.  that will seriously destroy our country.  .  	he will stop people from coming into our country from using the system.  i highly agree with him.   i think he would do very well as a president and he would change everything and our family is hoping.  .  			1.0
1108	302714	54.0	1.0	1	6.0	2.0	0.0	5.0	4.0	6.5	4.0	3.0		fact that she sided with obama, hung the marins out to dry overseas.  she is a democrat as is obama.  	he is not a career politician.  he is not afraid to stand up and use direct verbage instead of politically correct passive bs.  agree with closing the border.  and most everything else he says	sometimes his chaotic personality makes me wary		turned into a charity state.  	they hold the general public responsible for themselves.  		turned into a charity state.  	they hold the general public responsible for themselves.  			fact that she sided with obama, hung the marins out to dry overseas.  she is a democrat as is obama.  	he is not a career politician.  he is not afraid to stand up and use direct verbage instead of politically correct passive bs.  agree with closing the border.  and most everything else he says	sometimes his chaotic personality makes me wary		2.0
1109	302717	64.0	1.0	1	6.0	2.0	0.5	2.0	6.0	7.0	4.5	4.0		she is very unreialbel and dishonest, i woul dlike to see someone new not someone who has been in politicis for 100 years and she is a liberal democrate.  i dont' like her. .  	because he is outside of the political system.  not specifically.  	i guess the way he just shoots his mouth off without thinking about it.  i dont really know everything he stands for.  		i guess the big government would be the biggest one.  a lot of the social issue that involve themselves, the way they involve themselves in our lives way too much.  	theyre philoscphies on smaller government, not what they are doing at the moment but theyre supposed beliefs are.  	because they don't follow their beliefs.  i think they pooly represent themselves.  	i guess the big government would be the biggest one.  a lot of the social issue that involve themselves, the way they involve themselves in our lives way too much.  	theyre philoscphies on smaller government, not what they are doing at the moment but theyre supposed beliefs are.  	because they don't follow their beliefs.  i think they pooly represent themselves.  		she is very unreialbel and dishonest, i woul dlike to see someone new not someone who has been in politicis for 100 years and she is a liberal democrate.  i dont' like her. .  	because he is outside of the political system.  not specifically.  	i guess the way he just shoots his mouth off without thinking about it.  i dont really know everything he stands for.  		2.0
1110	302719	90.0	1.0	2	6.0		0.0																						2.0
1111	302720	20.0	0.0	1	1.0	0.0	0.0	5.5	4.5	4.5	2.5	5.5	better for the country instead of ruinin the country			he willmess the whole country up	they try to help the country			they are for themselves			they are for themselves	better for the country instead of ruinin the country			he willmess the whole country up	they try to help the country	0.0
